Sample	Filename	File type	Encoding	Total Sequences	Total Bases	Sequences flagged as poor quality	Sequence length	%GC	total_deduplicated_percentage	avg_sequence_length	median_sequence_length	basic_statistics	per_base_sequence_quality	per_sequence_quality_scores	per_base_sequence_content	per_sequence_gc_content	per_base_n_content	sequence_length_distribution	sequence_duplication_levels	overrepresented_sequences	adapter_content
WC3_471.R1	WC3_471.R1.fq.gz	Conventional base calls	Sanger / Illumina 1.9	2414850.0	350.3 Mbp	0.0	31-146	41.0	5.997100508074806	145.09466840590514	146	pass	pass	pass	fail	fail	pass	warn	fail	fail	pass
WC3_471.R2	WC3_471.R2.fq.gz	Conventional base calls	Sanger / Illumina 1.9	2414850.0	361.5 Mbp	0.0	31-151	46.0	11.32745702280996	149.75195477979997	151	pass	pass	pass	fail	fail	pass	warn	fail	fail	pass
WC3_472.F	WC3_472.F.fq.gz	Conventional base calls	Sanger / Illumina 1.9	3284977.0	479.6 Mbp	0.0	146.0	41.0	5.920516636633364	146.0	146	pass	pass	pass	fail	fail	pass	pass	fail	fail	pass
WC3_472.R	WC3_472.R.fq.gz	Conventional base calls	Sanger / Illumina 1.9	3284977.0	496 Mbp	0.0	151.0	46.0	10.549377884528893	151.0	151	pass	pass	pass	fail	fail	pass	pass	fail	fail	pass
WC3_472.R1	WC3_472.R1.fq.gz	Conventional base calls	Sanger / Illumina 1.9	3255405.0	473 Mbp	0.0	31-146	41.0	5.685028524794066	145.31746649034451	146	pass	pass	pass	fail	fail	pass	warn	fail	fail	pass
WC3_472.R2	WC3_472.R2.fq.gz	Conventional base calls	Sanger / Illumina 1.9	3255405.0	488.2 Mbp	0.0	21-151	46.0	9.737360409187904	150.0003053383527	151	pass	pass	pass	fail	fail	pass	warn	fail	fail	pass
WC3_473.F	WC3_473.F.fq.gz	Conventional base calls	Sanger / Illumina 1.9	3815211.0	557 Mbp	0.0	146.0	40.0	4.293771375500727	146.0	146	pass	pass	pass	fail	warn	pass	pass	fail	fail	pass
WC3_473.R	WC3_473.R.fq.gz	Conventional base calls	Sanger / Illumina 1.9	3815211.0	576 Mbp	0.0	151.0	45.0	8.914456984607192	151.0	151	pass	pass	pass	fail	fail	pass	pass	fail	fail	pass
WC3_473.R1	WC3_473.R1.fq.gz	Conventional base calls	Sanger / Illumina 1.9	3787191.0	551 Mbp	0.0	31-146	40.0	4.14034271576551	145.5142101362197	146	pass	pass	pass	fail	warn	pass	warn	fail	fail	pass
WC3_473.R2	WC3_473.R2.fq.gz	Conventional base calls	Sanger / Illumina 1.9	3787191.0	568.8 Mbp	0.0	28-151	45.0	8.39026138064395	150.22505281619016	151	pass	pass	pass	fail	fail	pass	warn	fail	fail	pass
WC3_475.F	WC3_475.F.fq.gz	Conventional base calls	Sanger / Illumina 1.9	2660971.0	388.5 Mbp	0.0	146.0	41.0	5.4724964437289625	146.0	146	pass	pass	pass	fail	warn	pass	pass	fail	fail	pass
WC3_475.R	WC3_475.R.fq.gz	Conventional base calls	Sanger / Illumina 1.9	2660971.0	401.8 Mbp	0.0	151.0	45.0	11.531123002262486	151.0	151	pass	pass	pass	fail	fail	pass	pass	fail	fail	pass
WC3_475.R1	WC3_475.R1.fq.gz	Conventional base calls	Sanger / Illumina 1.9	2640671.0	384 Mbp	0.0	31-146	41.0	5.29672278685516	145.43721879779798	146	pass	pass	pass	fail	warn	pass	warn	fail	fail	pass
WC3_475.R2	WC3_475.R2.fq.gz	Conventional base calls	Sanger / Illumina 1.9	2640671.0	396.3 Mbp	0.0	28-151	45.0	10.931728658829112	150.13815693056802	151	pass	pass	pass	fail	fail	pass	warn	fail	fail	pass
WC3_476.F	WC3_476.F.fq.gz	Conventional base calls	Sanger / Illumina 1.9	2045457.0	298.6 Mbp	0.0	146.0	41.0	7.730755578944038	146.0	146	pass	pass	pass	fail	warn	pass	pass	fail	fail	pass
WC3_476.R	WC3_476.R.fq.gz	Conventional base calls	Sanger / Illumina 1.9	2045457.0	308.8 Mbp	0.0	151.0	45.0	12.522839788663633	151.0	151	pass	pass	pass	fail	fail	pass	pass	fail	fail	pass
WC3_476.R1	WC3_476.R1.fq.gz	Conventional base calls	Sanger / Illumina 1.9	2024697.0	293.7 Mbp	0.0	31-146	41.0	7.4684856323157645	145.09848535361093	146	pass	pass	pass	fail	warn	pass	warn	fail	fail	pass
WC3_476.R2	WC3_476.R2.fq.gz	Conventional base calls	Sanger / Illumina 1.9	2024697.0	303.3 Mbp	0.0	31-151	45.0	11.614950943532442	149.83076973986724	151	pass	pass	pass	fail	fail	pass	warn	fail	fail	pass
WC3_477.F	WC3_477.F.fq.gz	Conventional base calls	Sanger / Illumina 1.9	5033314.0	734.8 Mbp	0.0	146.0	41.0	4.3151543872492715	146.0	146	pass	pass	pass	fail	warn	pass	pass	fail	fail	pass
WC3_477.R	WC3_477.R.fq.gz	Conventional base calls	Sanger / Illumina 1.9	5033314.0	760 Mbp	0.0	151.0	45.0	8.630916560621154	151.0	151	pass	pass	pass	fail	fail	pass	pass	fail	fail	pass
WC3_477.R1	WC3_477.R1.fq.gz	Conventional base calls	Sanger / Illumina 1.9	4987879.0	725.5 Mbp	0.0	31-146	41.0	4.1040777695219095	145.47675494934822	146	pass	pass	pass	fail	warn	pass	warn	fail	fail	pass
WC3_477.R2	WC3_477.R2.fq.gz	Conventional base calls	Sanger / Illumina 1.9	4987879.0	748.8 Mbp	0.0	31-151	45.0	8.017942812575823	150.16099307942315	151	pass	pass	pass	fail	fail	pass	warn	fail	fail	pass
WC3_478.F	WC3_478.F.fq.gz	Conventional base calls	Sanger / Illumina 1.9	838609.0	122.4 Mbp	0.0	146.0	41.0	8.427050031659569	146.0	146	pass	pass	pass	fail	warn	pass	pass	fail	fail	pass
WC3_478.R	WC3_478.R.fq.gz	Conventional base calls	Sanger / Illumina 1.9	838609.0	126.6 Mbp	0.0	151.0	45.0	13.882959174457799	151.0	151	pass	pass	pass	fail	fail	pass	pass	fail	fail	pass
WC3_478.R1	WC3_478.R1.fq.gz	Conventional base calls	Sanger / Illumina 1.9	830932.0	120.8 Mbp	0.0	32-146	41.0	8.238820986554856	145.43608742953694	146	pass	pass	pass	fail	warn	pass	warn	fail	fail	pass
WC3_478.R2	WC3_478.R2.fq.gz	Conventional base calls	Sanger / Illumina 1.9	830932.0	124.7 Mbp	0.0	32-151	45.0	13.220077049119677	150.13018273456794	151	pass	pass	pass	fail	fail	pass	warn	fail	fail	pass
WC3_479.F	WC3_479.F.fq.gz	Conventional base calls	Sanger / Illumina 1.9	6612199.0	965.3 Mbp	0.0	146.0	42.0	4.587522863614057	146.0	146	pass	pass	pass	fail	warn	pass	pass	fail	fail	pass
WC3_479.R	WC3_479.R.fq.gz	Conventional base calls	Sanger / Illumina 1.9	6612199.0	998.4 Mbp	0.0	151.0	46.0	9.136395378845712	151.0	151	pass	pass	pass	fail	fail	pass	pass	fail	fail	pass
WC3_479.R1	WC3_479.R1.fq.gz	Conventional base calls	Sanger / Illumina 1.9	6551754.0	952 Mbp	0.0	31-146	42.0	4.407813700647296	145.31949902270446	146	pass	pass	pass	fail	warn	pass	warn	fail	fail	pass
WC3_479.R2	WC3_479.R2.fq.gz	Conventional base calls	Sanger / Illumina 1.9	6551754.0	982.8 Mbp	0.0	15-151	46.0	8.37239961083408	150.03773157539186	151	pass	pass	pass	fail	fail	pass	warn	fail	fail	pass
WC3_480.F	WC3_480.F.fq.gz	Conventional base calls	Sanger / Illumina 1.9	3010400.0	439.5 Mbp	0.0	146.0	41.0	5.141420099832518	146.0	146	pass	pass	pass	fail	warn	pass	pass	fail	fail	pass
WC3_480.R	WC3_480.R.fq.gz	Conventional base calls	Sanger / Illumina 1.9	3010400.0	454.5 Mbp	0.0	151.0	45.0	9.671460257188507	151.0	151	pass	pass	pass	fail	fail	pass	pass	fail	fail	pass
WC3_480.R1	WC3_480.R1.fq.gz	Conventional base calls	Sanger / Illumina 1.9	2983763.0	433.5 Mbp	0.0	31-146	41.0	4.948913595701536	145.32976948906466	146	pass	pass	pass	fail	warn	pass	warn	fail	fail	pass
WC3_480.R2	WC3_480.R2.fq.gz	Conventional base calls	Sanger / Illumina 1.9	2983763.0	447.6 Mbp	0.0	31-151	45.0	8.96727575724762	150.05174707240488	151	pass	pass	pass	fail	fail	pass	warn	fail	fail	pass
WC3_481.F	WC3_481.F.fq.gz	Conventional base calls	Sanger / Illumina 1.9	2898983.0	423.2 Mbp	0.0	146.0	41.0	6.267090101952491	146.0	146	pass	pass	pass	fail	fail	pass	pass	fail	fail	pass
WC3_481.R	WC3_481.R.fq.gz	Conventional base calls	Sanger / Illumina 1.9	2898983.0	437.7 Mbp	0.0	151.0	46.0	11.893246079317809	151.0	151	pass	pass	pass	fail	fail	pass	pass	fail	fail	pass
WC3_481.R1	WC3_481.R1.fq.gz	Conventional base calls	Sanger / Illumina 1.9	2872252.0	416.9 Mbp	0.0	31-146	41.0	6.028807815148649	145.15874790930602	146	pass	pass	pass	fail	fail	pass	warn	fail	fail	pass
WC3_481.R2	WC3_481.R2.fq.gz	Conventional base calls	Sanger / Illumina 1.9	2872252.0	430.2 Mbp	0.0	20-151	46.0	11.10851841416147	149.81193502519974	151	pass	pass	pass	fail	fail	pass	warn	fail	fail	pass
WC3_482.F	WC3_482.F.fq.gz	Conventional base calls	Sanger / Illumina 1.9	6174482.0	901.4 Mbp	0.0	146.0	42.0	4.434231528479877	146.0	146	pass	pass	pass	fail	warn	pass	pass	fail	fail	pass
WC3_482.R	WC3_482.R.fq.gz	Conventional base calls	Sanger / Illumina 1.9	6174482.0	932.3 Mbp	0.0	151.0	46.0	8.532242059588816	151.0	151	pass	pass	pass	fail	fail	pass	pass	fail	fail	pass
WC3_482.R1	WC3_482.R1.fq.gz	Conventional base calls	Sanger / Illumina 1.9	6122683.0	889.4 Mbp	0.0	31-146	42.0	4.299325353874812	145.2859292241653	146	pass	pass	pass	fail	warn	pass	warn	fail	fail	pass
WC3_482.R2	WC3_482.R2.fq.gz	Conventional base calls	Sanger / Illumina 1.9	6122683.0	918.3 Mbp	0.0	30-151	46.0	7.808440472338518	150.0188330834701	151	pass	pass	pass	fail	fail	pass	warn	fail	fail	pass
WC3_483.F	WC3_483.F.fq.gz	Conventional base calls	Sanger / Illumina 1.9	3225946.0	470.9 Mbp	0.0	146.0	41.0	5.4507777693756765	146.0	146	pass	pass	pass	fail	warn	pass	pass	fail	fail	pass
WC3_483.R	WC3_483.R.fq.gz	Conventional base calls	Sanger / Illumina 1.9	3225946.0	487.1 Mbp	0.0	151.0	46.0	10.377564462598995	151.0	151	pass	pass	pass	fail	fail	pass	pass	fail	fail	pass
WC3_483.R1	WC3_483.R1.fq.gz	Conventional base calls	Sanger / Illumina 1.9	3193603.0	463.8 Mbp	0.0	31-146	41.0	5.1762856551045875	145.24784232730244	146	pass	pass	pass	fail	warn	pass	warn	fail	fail	pass
WC3_483.R2	WC3_483.R2.fq.gz	Conventional base calls	Sanger / Illumina 1.9	3193603.0	478.8 Mbp	0.0	15-151	45.0	9.632214967470878	149.9636301068104	151	pass	pass	pass	fail	fail	pass	warn	fail	fail	pass
WC3_484.F	WC3_484.F.fq.gz	Conventional base calls	Sanger / Illumina 1.9	1669752.0	243.7 Mbp	0.0	146.0	42.0	7.961769773375063	146.0	146	pass	pass	pass	fail	fail	pass	pass	fail	fail	pass
WC3_484.R	WC3_484.R.fq.gz	Conventional base calls	Sanger / Illumina 1.9	1669752.0	252.1 Mbp	0.0	151.0	46.0	14.148548212691917	151.0	151	pass	pass	pass	fail	fail	pass	pass	fail	fail	pass
WC3_484.R1	WC3_484.R1.fq.gz	Conventional base calls	Sanger / Illumina 1.9	1653317.0	239.7 Mbp	0.0	31-146	42.0	7.6616719239351445	145.0000362906811	146	pass	pass	pass	fail	fail	pass	warn	fail	fail	pass
WC3_484.R2	WC3_484.R2.fq.gz	Conventional base calls	Sanger / Illumina 1.9	1653317.0	247.3 Mbp	0.0	31-151	46.0	13.287915420820912	149.62757232883953	151	pass	pass	pass	fail	fail	pass	warn	fail	fail	pass
WC3_485.F	WC3_485.F.fq.gz	Conventional base calls	Sanger / Illumina 1.9	2232703.0	325.9 Mbp	0.0	146.0	41.0	7.154005743702105	146.0	146	pass	pass	pass	fail	warn	pass	pass	fail	fail	pass
WC3_485.R	WC3_485.R.fq.gz	Conventional base calls	Sanger / Illumina 1.9	2232703.0	337.1 Mbp	0.0	151.0	46.0	13.2568692336578	151.0	151	pass	pass	pass	fail	warn	pass	pass	fail	fail	pass
WC3_485.R1	WC3_485.R1.fq.gz	Conventional base calls	Sanger / Illumina 1.9	2208431.0	320.9 Mbp	0.0	31-146	41.0	6.906083310665078	145.32118322917944	146	pass	pass	pass	fail	warn	pass	warn	fail	fail	pass
